smiles_clean,valid,comment,n_reos_warnings,inchi,label_raw,id,split
CCCCCCCCCCCCCC,True,Aliphatic long chain,1,"InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3",-7.96,Tetradecane,train
CC(C)Cl,True,alkyl halide,1,"InChI=1S/C3H7Cl/c1-3(2)4/h3H,1-2H3",-1.41,2-Chloropropane,train
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,True,phosphor,1,"InChI=1S/C12H21N2O3PS/c1-6-15-18(19,16-7-2)17-11-8-10(5)13-12(14-11)9(3)4/h8-9H,6-7H2,1-5H3",-3.64,Diazinon,train
CCCCCCCCCC(C)O,True,Aliphatic long chain,1,"InChI=1S/C11H24O/c1-3-4-5-6-7-8-9-10-11(2)12/h11-12H,3-10H2,1-2H3",-2.94,2-Undecanol,train
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,True,halogenated ring,1,InChI=1S/C12H5Cl5/c13-6-1-2-7(10(16)5-6)11-8(14)3-4-9(15)12(11)17/h1-5H,-7.43,"2,2',3,4,6-PCB",train
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,True,(),0,"InChI=1S/C13H18N2O2/c16-12-10-7-4-8-11(10)14-13(17)15(12)9-5-2-1-3-6-9/h9H,1-8H2,(H,14,17)",-4.593999999999999,Lenacil,train
CCOP(=S)(OCC)SCSCC,True,"Aliphatic long chain, het-C-het not in ring, phosphor",3,"InChI=1S/C7H17O2PS3/c1-4-8-10(11,9-5-2)13-7-12-6-3/h4-7H2,1-3H3",-4.11,Phorate,train
CCOc1ccc(NC(C)=O)cc1,True,(),0,"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)",-2.35,Phenacetin,train
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],True,"aniline, nitro group, Oxygen-nitrogen single bond",3,"InChI=1S/C11H13F3N4O4/c1-3-16(4-2)9-7(17(19)20)5-6(11(12,13)14)8(15)10(9)18(21)22/h5H,3-4,15H2,1-2H3",-5.47,Dinitramine,train
CCCCCCCO,True,Aliphatic long chain,1,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",-1.81,1-Heptanol,train
Cn1c(=O)c2[nH]cnc2n(C)c1=O,True,(),0,"InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)",-1.39,Theophylline,train
CCCCC1(CC)C(=O)NC(=O)NC1=O,True,beta-keto/anhydride,1,"InChI=1S/C10H16N2O3/c1-3-5-6-10(4-2)7(13)11-9(15)12-8(10)14/h3-6H2,1-2H3,(H2,11,12,13,14,15)",-1.661,Butethal,train
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,True,(),0,InChI=1S/C14H8Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8H,-6.9,"P,P'-DDE",train
CCCCCCCC(=O)OC,True,Aliphatic long chain,1,"InChI=1S/C9H18O2/c1-3-4-5-6-7-8-9(10)11-2/h3-8H2,1-2H3",-3.17,Methyl octanoate,train
CCc1ccc(CC)cc1,True,(),0,"InChI=1S/C10H14/c1-3-9-5-7-10(4-2)8-6-9/h5-8H,3-4H2,1-2H3",-3.75,"1,4-Diethylbenzene ",train
CCOP(=S)(OCC)SCSC(C)(C)C,True,"het-C-het not in ring, phosphor",2,"InChI=1S/C9H21O2PS3/c1-6-10-12(13,11-7-2)15-8-14-9(3,4)5/h6-8H2,1-5H3",-4.755,Terbufos,train
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,True,(),0,"InChI=1S/C16H16N2O4/c1-11-5-3-6-12(9-11)18-16(20)22-14-8-4-7-13(10-14)17-15(19)21-2/h3-10H,1-2H3,(H,17,19)(H,18,20)",-4.805,Phenmedipham,train
C=C(Cl)Cl,True,(),0,InChI=1S/C2H2Cl2/c1-2(3)4/h1H2,-1.64,"1,1-Dichloroethylene",train
Cc1cccc2c1Cc1ccccc1-2,True,(),0,"InChI=1S/C14H12/c1-10-5-4-8-13-12-7-3-2-6-11(12)9-14(10)13/h2-8H,9H2,1H3",-5.22,1-Methylfluorene,train
CCCCC=O,True,"aldehyde, Aliphatic long chain",2,"InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3",-0.85,Valeraldehyde,train
c1ccc(Nc2ccccc2)cc1,True,(),0,"InChI=1S/C12H11N/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10,13H",-3.504,Diphenylamine,train
CN(C)C(=O)SCCCCOc1ccccc1,True,"Aliphatic long chain, thioester",2,"InChI=1S/C13H19NO2S/c1-14(2)13(15)17-11-7-6-10-16-12-8-4-3-5-9-12/h3-5,8-9H,6-7,10-11H2,1-2H3",-3.927,Fenothiocarb,train
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,True,phosphor,1,"InChI=1S/C14H28NO3PS2/c1-4-10-17-19(20,18-11-5-2)21-12-14(16)15-9-7-6-8-13(15)3/h13H,4-12H2,1-3H3",-4.15,Piperophos,train
Clc1cccc(-c2ccccc2)c1,True,(),0,InChI=1S/C12H9Cl/c13-12-8-4-7-11(9-12)10-5-2-1-3-6-10/h1-9H,-4.88,3-Chlorobiphenyl,train
C=CCCCO,True,"Aliphatic long chain, isolated alkene",2,"InChI=1S/C5H10O/c1-2-3-4-5-6/h2,6H,1,3-5H2",-0.15,4-Pentene-1-ol,train
O=C1NC(=O)C2(CCC2)C(=O)N1,True,beta-keto/anhydride,1,"InChI=1S/C7H8N2O3/c10-4-7(2-1-3-7)5(11)9-6(12)8-4/h1-3H2,(H2,8,9,10,11,12)",-1.655,Cyclobutyl-5-spirobarbituric acid,train
CC1CCC(C(C)C)C(O)C1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C10H20O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-11H,4-6H2,1-3H3",-2.53,menthol,train
CCCCCC(C)O,True,Aliphatic long chain,1,"InChI=1S/C7H16O/c1-3-4-5-6-7(2)8/h7-8H,3-6H2,1-2H3",-1.55,2-Heptanol ,train
COC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],True,"nitro group, Oxygen-nitrogen single bond",2,"InChI=1S/C17H18N2O6/c1-9-13(16(20)24-3)15(14(10(2)18-9)17(21)25-4)11-7-5-6-8-12(11)19(22)23/h5-8,15,18H,1-4H3",-4.76,nifedipine,train
Cc1ccc2ccc(C)nc2c1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C11H11N/c1-8-3-5-10-6-4-9(2)12-11(10)7-8/h3-7H,1-2H3",-1.94,"2,7-dimethylquinoline",train
C#CCCCCCC,True,"Aliphatic long chain, triple bond",2,"InChI=1S/C8H14/c1-3-5-7-8-6-4-2/h1H,4-8H2,2H3",-3.66,1-Octyne ,train
c1ccc2c(c1)ccc1c3ccccc3ccc21,True,Polycyclic aromatic hydrocarbon,1,InChI=1S/C18H12/c1-3-7-15-13(5-1)9-11-18-16-8-4-2-6-14(16)10-12-17(15)18/h1-12H,-8.057,Chrysene,train
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C9H13BrN2O2/c1-4-5(2)12-8(13)7(10)6(3)11-9(12)14/h5H,4H2,1-3H3,(H,11,14)",-2.523,Bromacil,train
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,True,halogenated ring,1,InChI=1S/C12H4Cl6/c13-6-3-1-2-5(10(6)16)9-11(17)7(14)4-8(15)12(9)18/h1-4H,-8.6,"2,2',3,3',5,6-PCB",train
Cc1ccccc1O,True,(),0,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",-0.62,2-Methylphenol,train
CC(C)CCC(C)(C)C,True,(),0,"InChI=1S/C9H20/c1-8(2)6-7-9(3,4)5/h8H,6-7H2,1-5H3",-5.05,"2,2,5-Trimethylhexane",train
Cc1ccc(C)c2ccccc12,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C12H12/c1-9-7-8-10(2)12-6-4-3-5-11(9)12/h3-8H,1-2H3",-4.14,"1,4-Dimethylnaphthalene ",train
CCCC(C)=O,True,(),0,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",-0.19,2-Pentanone,train
CCCOC(=O)CC,True,(),0,"InChI=1S/C6H12O2/c1-3-5-8-6(7)4-2/h3-5H2,1-2H3",-0.82,Methyl butyrate,train
CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C21H27FO6/c1-18-6-5-12(24)7-11(18)3-4-13-14-8-15(25)21(28,17(27)10-23)19(14,2)9-16(26)20(13,18)22/h5-7,13-16,23,25-26,28H,3-4,8-10H2,1-2H3",-3.68,Triamcinolone,train
Nc1ccc(O)cc1,True,"aniline, hydroquinone",2,"InChI=1S/C6H7NO/c7-5-1-3-6(8)4-2-5/h1-4,8H,7H2",-0.8,p-Aminophenol,train
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,True,"nitro group, Oxygen-nitrogen single bond",2,"InChI=1S/C12H12N4O3/c17-11(14-8-10-4-2-1-3-5-10)9-15-7-6-13-12(15)16(18)19/h1-7H,8-9H2,(H,14,17)",-2.81,Benznidazole,train
Oc1c(C2=CCC(c3ccc(Cl)cc3)CC2)c(O)c2ccccc2c1O,True,"catechol, hydroquinone",2,"InChI=1S/C22H19ClO3/c23-16-11-9-14(10-12-16)13-5-7-15(8-6-13)19-20(24)17-3-1-2-4-18(17)21(25)22(19)26/h1-4,9-13,15,26H,5-8H2",-5.931,"Atovaquone(0,430mg/ml) - neutral",train
CCNc1nc(Cl)nc(N(CC)CC)n1,True,(),0,"InChI=1S/C9H16ClN5/c1-4-11-8-12-7(10)13-9(14-8)15(5-2)6-3/h4-6H2,1-3H3,(H,11,12,13,14)",-4.06,Trietazine,train
NC(=O)c1cnccn1,True,(),0,"InChI=1S/C5H5N3O/c6-5(9)4-3-7-1-2-8-4/h1-3H,(H2,6,9)",-0.667,Pyrazinamide,train
CCC(Br)(CC)C(=O)NC(N)=O,True,alkyl halide,1,"InChI=1S/C7H13BrN2O2/c1-3-7(8,4-2)5(11)10-6(9)12/h3-4H2,1-2H3,(H3,9,10,11,12)",-2.68,Carbromal,train
O=c1[nH]c(O)cn1N=Cc1ccc([N+](=O)[O-])o1,True,"imine, nitro group, Oxygen-nitrogen single bond",3,"InChI=1S/C8H6N4O5/c13-6-4-11(8(14)10-6)9-3-5-1-2-7(17-5)12(15)16/h1-3H,4H2,(H,10,13,14)",-3.38,nitrofurantoin,train
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,True,"nitro group, Oxygen-nitrogen single bond",2,InChI=1S/C12H7Cl2NO3/c13-8-1-6-12(11(14)7-8)18-10-4-2-9(3-5-10)15(16)17/h1-7H,-5.46,Nitrofen,train
CC12CCC(CC1=O)C2(C)C,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3",-1.96,Camphor,train
CCCCC(=O)OCC,True,(),0,"InChI=1S/C7H14O2/c1-3-5-6-7(8)9-4-2/h3-6H2,1-2H3",-2.25,Pentyl propanoate,train
CC(=O)OCCC(C)C,True,(),0,"InChI=1S/C7H14O2/c1-6(2)4-5-9-7(3)8/h6H,4-5H2,1-3H3",-1.92,Isopentyl acetate,train
CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,True,"Aliphatic long chain, hydantoin",2,"InChI=1S/C22H24N2O4/c1-2-3-6-15-19(25)28-16-24-20(26)22(23-21(24)27,17-11-7-4-8-12-17)18-13-9-5-10-14-18/h4-5,7-14H,2-3,6,15-16H2,1H3,(H,23,27)",-5.886,3-Hexanoyloxymethylphenyltoin,train
CCCBr,True,alkyl halide,1,"InChI=1S/C3H7Br/c1-2-3-4/h2-3H2,1H3",-1.73,1-Bromopropane,train
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C15H17Cl2N3O2/c1-2-3-12-7-21-15(22-12,8-20-10-18-9-19-20)13-5-4-11(16)6-14(13)17/h4-6,9-10,12H,2-3,7-8H2,1H3",-3.4930000000000003,Propiconazole,train
COP(=S)(OC)SCC(=O)N(C)C=O,True,"aldehyde, phosphor",2,"InChI=1S/C6H12NO4PS2/c1-7(5-8)6(9)4-14-12(13,10-2)11-3/h5H,4H2,1-3H3",-1.995,Formothion,train
Cc1ncnc2nccnc12,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C7H6N4/c1-5-6-7(11-4-10-5)9-3-2-8-6/h2-4H,1H3",-0.466,4-methylpteridine,train
NC(N)=S,True,Thiocarbonyl group,1,"InChI=1S/CH4N2S/c2-1(3)4/h(H4,2,3,4)",0.32,Thiourea,train
Cc1ccc(C)cc1,True,(),0,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",-2.77,p-Xylene ,train
CCc1ccccc1CC,True,(),0,"InChI=1S/C10H14/c1-3-9-7-5-6-8-10(9)4-2/h5-8H,3-4H2,1-2H3",-3.28,"1,2-Diethylbenzene",train
ClC(Cl)(Cl)C(Cl)(Cl)Cl,True,alkyl halide,1,"InChI=1S/C2Cl6/c3-1(4,5)2(6,7)8",-3.67,Hexachloroethane,train
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C26H23F2NO4/c1-17(2)24(18-11-13-21(14-12-18)32-26(27)28)25(30)33-23(16-29)19-7-6-10-22(15-19)31-20-8-4-3-5-9-20/h3-15,17,23-24,26H,1-2H3",-6.876,Flucythrinate,train
CCC[N+](=O)[O-],True,"nitro group, Oxygen-nitrogen single bond",2,"InChI=1S/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3",-0.8,1-Nitropropane,train
CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21,True,(),0,"InChI=1S/C14H12ClN3O/c1-2-18-12-8-9(15)5-6-11(12)17-14(19)10-4-3-7-16-13(10)18/h3-8H,2H2,1H3,(H,17,19)",-5.36,RTI 24,train
O=[N+]([O-])c1cccc(Cl)c1Cl,True,"nitro group, Oxygen-nitrogen single bond",2,InChI=1S/C6H3Cl2NO2/c7-4-2-1-3-5(6(4)8)9(10)11/h1-3H,-3.48,"2,3-Dichloronitrobenzene",train
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,True,"beta-keto/anhydride, isolated alkene, Thiocarbonyl group",3,"InChI=1S/C12H18N2O2S/c1-4-6-8(3)12(7-5-2)9(15)13-11(17)14-10(12)16/h5,8H,2,4,6-7H2,1,3H3,(H2,13,14,15,16,17)",-3.46,thiamylal,train
CCCOC(C)C,True,(),0,"InChI=1S/C6H14O/c1-4-5-7-6(2)3/h6H,4-5H2,1-3H3",-1.34,Propylisopropylether,train
Cc1cc(C)c2ccccc2c1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C12H12/c1-9-7-10(2)12-6-4-3-5-11(12)8-9/h3-8H,1-2H3",-4.29,"1,3-Dimethylnaphthalene",train
CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C18H20O2/c1-3-17(13-5-9-15(19)10-6-13)18(4-2)14-7-11-16(20)12-8-14/h5-12,19-20H,3-4H2,1-2H3",-4.07,diethylstilbestrol,train
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,True,(),0,InChI=1S/C12H6Cl4/c13-8-2-4-10(14)9(6-8)7-1-3-11(15)12(16)5-7/h1-6H,-7.25,"2,3',4',5-PCB",train
c1ccc(C2CO2)cc1,True,Three-membered heterocycle,1,"InChI=1S/C8H8O/c1-2-4-7(5-3-1)8-6-9-8/h1-5,8H,6H2",-1.6,styrene oxide,train
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3",-3.45,Deoxycorticosterone,train
Clc1c(Cl)c(Cl)c2nccnc2c1Cl,True,"halogenated ring, halogenated ring",2,InChI=1S/C8H2Cl4N2/c9-3-4(10)6(12)8-7(5(3)11)13-1-2-14-8/h1-2H,-5.43,chlorquinox,train
OC1COC(O)C(O)C1O,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2",0.39,L-arabinose,train
ClCCl,True,alkyl halide,1,InChI=1S/CH2Cl2/c2-1-3/h1H2,-0.63,Dichloromethane,train
CCc1cccc2ccccc12,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C12H12/c1-2-10-7-5-8-11-6-3-4-9-12(10)11/h3-9H,2H2,1H3",-4.17,1-Ethylnaphthalene ,train
COC=O,True,aldehyde,1,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",0.58,Methyl formate,train
Cc1c[nH]c(=O)[nH]c1=O,True,(),0,"InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)",-1.506,thymine,train
CC(C)C,True,(),0,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3",-2.55,2-Methylpropane,train
O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,True,"((5, 'molecule has a crossed bond in a ring'), (2, 'InChI: Omitted undefined stereo'))",0,"InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)",-1.23,Inosine,train
N#Cc1cc(I)c(O)c(I)c1,True,iodine,1,"InChI=1S/C7H3I2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H",-3.61,Ioxynil,train
Nc1ccc2cc3ccccc3cc2c1,True,"aniline, Polycyclic aromatic hydrocarbon",2,"InChI=1S/C14H11N/c15-14-6-5-12-7-10-3-1-2-4-11(10)8-13(12)9-14/h1-9H,15H2",-5.17,2-aminoanthracene,train
Cn1cnc2c1c(=O)[nH]c(=O)n2C,True,(),0,"InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)9-7(13)11(5)2/h3H,1-2H3,(H,9,12,13)",-2.523,theobromine,train
c1ccc2cnccc2c1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,InChI=1S/C9H7N/c1-2-4-9-7-10-6-5-8(9)3-1/h1-7H,-1.45,Isoquinoline,train
COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,True,phosphor,1,"InChI=1S/C13H19ClNO3PS2/c1-10(2)15(12-7-5-11(14)6-8-12)13(16)9-21-19(20,17-3)18-4/h5-8,10H,9H2,1-4H3",-4.432,Anilofos,train
CCCCCCc1ccccc1,True,Aliphatic long chain,1,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",-5.21,Hexylbenzene ,train
Clc1ccccc1-c1ccccc1,True,(),0,InChI=1S/C12H9Cl/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H,-4.54,2-Chlorobiphenyl,train
C=C(C)CCC,True,isolated alkene,1,"InChI=1S/C6H12/c1-4-5-6(2)3/h2,4-5H2,1,3H3",-3.03,2-Methyl-1-Pentene,train
CC(C)C(C)C(C)C,True,(),0,"InChI=1S/C8H18/c1-6(2)8(5)7(3)4/h6-8H,1-5H3",-4.8,"2,3,4-Trimethylpentane",train
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,True,"halogenated ring, halogenated ring",2,InChI=1S/C6HCl5/c7-2-1-3(8)5(10)6(11)4(2)9/h1H,-5.65,Pentachlorobenzene,train
O=[N+]([O-])c1cccc(O)c1,True,"nitro group, Oxygen-nitrogen single bond",2,"InChI=1S/C6H5NO3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H",-1.01,m-Nitrophenol,train
C=CCCCCCCCC,True,"Aliphatic long chain, isolated alkene",2,"InChI=1S/C10H20/c1-3-5-7-9-10-8-6-4-2/h3H,1,4-10H2,2H3",-5.51,1-Decene,train
CC(=O)OCC(COC(C)=O)OC(C)=O,True,> 2 ester groups,1,"InChI=1S/C9H14O6/c1-6(10)13-4-9(15-8(3)12)5-14-7(2)11/h9H,4-5H2,1-3H3",-0.6,Glyceryl triacetate,train
CCCCc1c(C)[nH]c(N(C)C)nc1=O,True,(),0,"InChI=1S/C11H19N3O/c1-5-6-7-9-8(2)12-11(14(3)4)13-10(9)15/h5-7H2,1-4H3,(H,12,13,15)",-2.24,dimethirimol,train
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C22H18Cl2FNO3/c1-22(2)15(11-19(23)24)20(22)21(27)29-18(12-26)13-8-9-16(25)17(10-13)28-14-6-4-3-5-7-14/h3-11,15,18,20H,1-2H3",-7.337000000000001,Cyfluthrin,train
c1ccncc1,True,(),0,InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H,0.76,Pyridine,train
CCCCCCCBr,True,"Aliphatic long chain, alkyl halide",2,"InChI=1S/C7H15Br/c1-2-3-4-5-6-7-8/h2-7H2,1H3",-4.43,1-Bromoheptane,train
CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C21H29FO5/c1-18-7-5-13(24)9-12(18)3-4-15-14-6-8-20(27,17(26)11-23)19(14,2)10-16(25)21(15,18)22/h9,14-16,23,25,27H,3-8,10-11H2,1-2H3",-3.43,Fludrocortisone,train
CCSCc1ccccc1OC(=O)NC,True,(),0,"InChI=1S/C11H15NO2S/c1-3-15-8-9-6-4-5-7-10(9)14-11(13)12-2/h4-7H,3,8H2,1-2H3,(H,12,13)",-2.09,ethiofencarb,train
CCOC(=O)CC(=O)OCC,True,beta-keto/anhydride,1,"InChI=1S/C7H12O4/c1-3-10-6(8)5-7(9)11-4-2/h3-5H2,1-2H3",-0.82,Malonic acid diethylester,train
C=C(C)C1CC=C(C)CC1,True,isolated alkene,1,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3",-4.26,d-Limonene,train
Clc1cccc(I)c1,True,iodine,1,InChI=1S/C6H4ClI/c7-5-2-1-3-6(8)4-5/h1-4H,-3.55,m-Chloroiodobenzene,train
Cc1cccc(C)n1,True,(),0,"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",0.45,"2,6-Dimethylpyridine",train
ClC=C(Cl)Cl,True,(),0,InChI=1S/C2HCl3/c3-1-2(4)5/h1H,-1.96,Trichloroethylene,train
Nc1cccc2ccccc12,True,aniline,1,"InChI=1S/C10H9N/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,11H2",-1.92,1-Napthylamine,train
Cc1cccc(C)c1,True,(),0,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",-2.82,m-Xylene ,train
O=c1nc2nccnc2c[nH]1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C6H4N4O/c11-6-9-3-4-5(10-6)8-2-1-7-4/h1-3H,(H,8,9,10,11)",-1.947,2-hydroxypteridine,train
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,True,beta-keto/anhydride,1,"InChI=1S/C11H18N2O3/c1-4-11(6-5-7(2)3)8(14)12-10(16)13-9(11)15/h7H,4-6H2,1-3H3,(H2,12,13,14,15,16)",-2.468,Amobarbital,train
CCC(C)=O,True,(),0,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3",0.52,2-Butanone,train
O=c1[nH]cc(F)c(=O)[nH]1,True,(),0,"InChI=1S/C4H3FN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)",-1.077,5-fluorouracil,train
