family,dataset,run_dir,status,skip_reason,train_label_count,test_label_count,label_task_count,output_dir,task,metric,models,baseline_model
moleculenet,MoleculeNet-ClinTox,/mnt/delta/code/collab/bench/runs/moleculenet/MoleculeNet-ClinTox,skipped,multitask,1335.0,149.0,2.0,,,,,
moleculenet,MoleculeNet-SIDER,/mnt/delta/code/collab/bench/runs/moleculenet/MoleculeNet-SIDER,skipped,multitask,1284.0,143.0,27.0,,,,,
moleculenet,MoleculeNet-Tox21,/mnt/delta/code/collab/bench/runs/moleculenet/MoleculeNet-Tox21,skipped,multitask,7047.0,784.0,12.0,,,,,
polaris,novartis-adme-novartis-cyp3a4-reg,/mnt/delta/code/collab/bench/runs/polaris/novartis-adme-novartis-cyp3a4-reg,skipped,no_test_labels,16372.0,0.0,,,,,,
polaris,polaris-adme-fang-hclint-1,/mnt/delta/code/collab/bench/runs/polaris/polaris-adme-fang-hclint-1,skipped,no_test_labels,2229.0,0.0,,,,,,
polaris,polaris-adme-fang-hppb-1,/mnt/delta/code/collab/bench/runs/polaris/polaris-adme-fang-hppb-1,skipped,no_test_labels,126.0,0.0,,,,,,
polaris,polaris-adme-fang-perm-1,/mnt/delta/code/collab/bench/runs/polaris/polaris-adme-fang-perm-1,skipped,no_test_labels,1919.0,0.0,,,,,,
polaris,polaris-adme-fang-rclint-1,/mnt/delta/code/collab/bench/runs/polaris/polaris-adme-fang-rclint-1,skipped,no_test_labels,2218.0,0.0,,,,,,
polaris,polaris-adme-fang-rppb-1,/mnt/delta/code/collab/bench/runs/polaris/polaris-adme-fang-rppb-1,skipped,no_test_labels,111.0,0.0,,,,,,
polaris,polaris-adme-fang-solu-1,/mnt/delta/code/collab/bench/runs/polaris/polaris-adme-fang-solu-1,skipped,no_test_labels,1578.0,0.0,,,,,,
moleculenet,MoleculeNet-BACE,/mnt/delta/code/collab/bench/runs/moleculenet/MoleculeNet-BACE,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/moleculenet/MoleculeNet-BACE,classification,auroc,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
moleculenet,MoleculeNet-BBBP,/mnt/delta/code/collab/bench/runs/moleculenet/MoleculeNet-BBBP,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/moleculenet/MoleculeNet-BBBP,classification,auroc,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
moleculenet,MoleculeNet-ESOL,/mnt/delta/code/collab/bench/runs/moleculenet/MoleculeNet-ESOL,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/moleculenet/MoleculeNet-ESOL,regression,rmse,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
moleculenet,MoleculeNet-FreeSolv,/mnt/delta/code/collab/bench/runs/moleculenet/MoleculeNet-FreeSolv,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/moleculenet/MoleculeNet-FreeSolv,regression,rmse,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
moleculenet,MoleculeNet-HIV,/mnt/delta/code/collab/bench/runs/moleculenet/MoleculeNet-HIV,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/moleculenet/MoleculeNet-HIV,classification,auroc,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
moleculenet,MoleculeNet-Lipophilicity,/mnt/delta/code/collab/bench/runs/moleculenet/MoleculeNet-Lipophilicity,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/moleculenet/MoleculeNet-Lipophilicity,regression,rmse,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,BBB_Martins,/mnt/delta/code/collab/bench/runs/tdc/BBB_Martins,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/BBB_Martins,classification,auroc,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,Bioavailability_Ma,/mnt/delta/code/collab/bench/runs/tdc/Bioavailability_Ma,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/Bioavailability_Ma,classification,auroc,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,CYP1A2_Veith,/mnt/delta/code/collab/bench/runs/tdc/CYP1A2_Veith,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/CYP1A2_Veith,classification,auroc,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,CYP2C19_Veith,/mnt/delta/code/collab/bench/runs/tdc/CYP2C19_Veith,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/CYP2C19_Veith,classification,auroc,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,CYP2C9_Substrate_CarbonMangels,/mnt/delta/code/collab/bench/runs/tdc/CYP2C9_Substrate_CarbonMangels,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/CYP2C9_Substrate_CarbonMangels,classification,auroc,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,CYP2C9_Veith,/mnt/delta/code/collab/bench/runs/tdc/CYP2C9_Veith,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/CYP2C9_Veith,classification,auroc,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,CYP2D6_Substrate_CarbonMangels,/mnt/delta/code/collab/bench/runs/tdc/CYP2D6_Substrate_CarbonMangels,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/CYP2D6_Substrate_CarbonMangels,classification,auroc,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,CYP2D6_Veith,/mnt/delta/code/collab/bench/runs/tdc/CYP2D6_Veith,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/CYP2D6_Veith,classification,auroc,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,CYP3A4_Substrate_CarbonMangels,/mnt/delta/code/collab/bench/runs/tdc/CYP3A4_Substrate_CarbonMangels,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/CYP3A4_Substrate_CarbonMangels,classification,auroc,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,CYP3A4_Veith,/mnt/delta/code/collab/bench/runs/tdc/CYP3A4_Veith,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/CYP3A4_Veith,classification,auroc,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,Caco2_Wang,/mnt/delta/code/collab/bench/runs/tdc/Caco2_Wang,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/Caco2_Wang,regression,rmse,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,Clearance_Hepatocyte_AZ,/mnt/delta/code/collab/bench/runs/tdc/Clearance_Hepatocyte_AZ,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/Clearance_Hepatocyte_AZ,regression,rmse,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,Clearance_Microsome_AZ,/mnt/delta/code/collab/bench/runs/tdc/Clearance_Microsome_AZ,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/Clearance_Microsome_AZ,regression,rmse,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,HIA_Hou,/mnt/delta/code/collab/bench/runs/tdc/HIA_Hou,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/HIA_Hou,classification,auroc,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,Half_Life_Obach,/mnt/delta/code/collab/bench/runs/tdc/Half_Life_Obach,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/Half_Life_Obach,regression,rmse,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,HydrationFreeEnergy_FreeSolv,/mnt/delta/code/collab/bench/runs/tdc/HydrationFreeEnergy_FreeSolv,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/HydrationFreeEnergy_FreeSolv,regression,rmse,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,Lipophilicity_AstraZeneca,/mnt/delta/code/collab/bench/runs/tdc/Lipophilicity_AstraZeneca,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/Lipophilicity_AstraZeneca,regression,rmse,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,PAMPA_NCATS,/mnt/delta/code/collab/bench/runs/tdc/PAMPA_NCATS,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/PAMPA_NCATS,classification,auroc,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,PPBR_AZ,/mnt/delta/code/collab/bench/runs/tdc/PPBR_AZ,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/PPBR_AZ,regression,rmse,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,Pgp_Broccatelli,/mnt/delta/code/collab/bench/runs/tdc/Pgp_Broccatelli,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/Pgp_Broccatelli,classification,auroc,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,Solubility_AqSolDB,/mnt/delta/code/collab/bench/runs/tdc/Solubility_AqSolDB,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/Solubility_AqSolDB,regression,rmse,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
tdc,VDss_Lombardo,/mnt/delta/code/collab/bench/runs/tdc/VDss_Lombardo,completed,,,,,/mnt/delta/code/collab/bench/runs/rank_fragility/tdc/VDss_Lombardo,regression,rmse,"ecfp_linear,ecfp_rf,lgbm_basic,lgbm_advanced,torch_mlp_basic,torch_mlp_advanced",ecfp_rf
