figure_id,dataset_quality,selection_rank,dataset,task,label_name,selection_rule,frac_nonclean,frac_audit_clean,source_config,source_cliffs,source_records,kind,split_A,id_A,smiles_A,activity_A,split_B,id_B,smiles_B,activity_B,activity_delta,activity_delta_abs,tanimoto,scaffold_tanimoto,levenshtein_sim,max_similarity,valid_A,comment_A,n_reos_warnings_A,inchi_A,valid_B,comment_B,n_reos_warnings_B,inchi_B
D01,worst,1,tdc/Solubility_AqSolDB,regression,Y,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.6713426853707415,0.3286573146292585,configs/tdc/Solubility_AqSolDB_random.yaml,runs/tdc/Solubility_AqSolDB/cliffs.jsonl,runs/tdc/Solubility_AqSolDB/records.csv,cross_tv_test,train,2373,CCCCCCCCC(=O)O,-8.7655314659,test,268,CCCCCC(=O)O,-1.0522193787,-7.7133120872,7.7133120872,0.9411764705882353,0.9333333333333333,0.88,0.9411764705882353,True,Aliphatic long chain,1.0,"InChI=1S/C9H18O2.2C8H16O2.C5H12O4/c1-2-3-4-5-6-7-8-9(10)11;1-3-5-6-7(4-2)8(9)10;1-2-3-4-5-6-7-8(9)10;6-1-5(2-7,3-8)4-9/h2-8H2,1H3,(H,10,11);7H,3-6H2,1-2H3,(H,9,10);2-7H2,1H3,(H,9,10);6-9H,1-4H2",True,Aliphatic long chain,1.0,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)"
D02,worst,2,tdc/Solubility_AqSolDB,regression,Y,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.6713426853707415,0.3286573146292585,configs/tdc/Solubility_AqSolDB_random.yaml,runs/tdc/Solubility_AqSolDB/cliffs.jsonl,runs/tdc/Solubility_AqSolDB/records.csv,intra_tv,train,951,CCCCCCCC/C=C\CCCCCCCC(=O)O,-11.9989378619,train,2861,CCCCCCC(=O)O,-1.6646,-10.3343378619,10.3343378619,0.7391304347826086,1.0,0.631578947368421,1.0,True,"Aliphatic long chain, isolated alkene",2.0,"InChI=1S/2C18H34O2.Cu/c2*1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20;/h2*9-10H,2-8,11-17H2,1H3,(H,19,20);/q;;+2/p-2/b2*10-9-;",True,Aliphatic long chain,1.0,"InChI=1S/C7H14O2/c1-2-3-4-5-6-7(8)9/h2-6H2,1H3,(H,8,9)"
D03,worst,3,tdc/Solubility_AqSolDB,regression,Y,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.6713426853707415,0.3286573146292585,configs/tdc/Solubility_AqSolDB_random.yaml,runs/tdc/Solubility_AqSolDB/cliffs.jsonl,runs/tdc/Solubility_AqSolDB/records.csv,intra_tv,train,951,CCCCCCCC/C=C\CCCCCCCC(=O)O,-11.9989378619,train,6093,CCCCCCCC(=O)O,-2.3,-9.6989378619,9.6989378619,0.7391304347826086,1.0,0.6666666666666667,1.0,True,"Aliphatic long chain, isolated alkene",2.0,"InChI=1S/2C18H34O2.Cu/c2*1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20;/h2*9-10H,2-8,11-17H2,1H3,(H,19,20);/q;;+2/p-2/b2*10-9-;",True,Aliphatic long chain,1.0,"InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)"
D04,worst,4,tdc/Solubility_AqSolDB,regression,Y,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.6713426853707415,0.3286573146292585,configs/tdc/Solubility_AqSolDB_random.yaml,runs/tdc/Solubility_AqSolDB/cliffs.jsonl,runs/tdc/Solubility_AqSolDB/records.csv,intra_tv,train,951,CCCCCCCC/C=C\CCCCCCCC(=O)O,-11.9989378619,train,1964,CCCCCCCCC(=O)O,-2.412949573,-9.5859882889,9.5859882889,0.7391304347826086,1.0,0.7,1.0,True,"Aliphatic long chain, isolated alkene",2.0,"InChI=1S/2C18H34O2.Cu/c2*1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20;/h2*9-10H,2-8,11-17H2,1H3,(H,19,20);/q;;+2/p-2/b2*10-9-;",True,Aliphatic long chain,1.0,"InChI=1S/2C9H18O2.Ca/c2*1-2-3-4-5-6-7-8-9(10)11;/h2*2-8H2,1H3,(H,10,11);/q;;+2/p-2"
D05,worst,5,tdc/Solubility_AqSolDB,regression,Y,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.6713426853707415,0.3286573146292585,configs/tdc/Solubility_AqSolDB_random.yaml,runs/tdc/Solubility_AqSolDB/cliffs.jsonl,runs/tdc/Solubility_AqSolDB/records.csv,cross_tv_test,train,951,CCCCCCCC/C=C\CCCCCCCC(=O)O,-11.9989378619,test,1648,CCCCCCCCC(=O)O,-2.7221977641,-9.2767400978,9.2767400978,0.7391304347826086,1.0,0.7,1.0,True,"Aliphatic long chain, isolated alkene",2.0,"InChI=1S/2C18H34O2.Cu/c2*1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20;/h2*9-10H,2-8,11-17H2,1H3,(H,19,20);/q;;+2/p-2/b2*10-9-;",True,Aliphatic long chain,1.0,"InChI=1S/C9H18O2/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3,(H,10,11)"
D06,worst,6,tdc/Solubility_AqSolDB,regression,Y,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.6713426853707415,0.3286573146292585,configs/tdc/Solubility_AqSolDB_random.yaml,runs/tdc/Solubility_AqSolDB/cliffs.jsonl,runs/tdc/Solubility_AqSolDB/records.csv,cross_tv_test,train,951,CCCCCCCC/C=C\CCCCCCCC(=O)O,-11.9989378619,test,1963,CCCCCCCC(=O)O,-3.2000007811,-8.7989370808,8.7989370808,0.7391304347826086,1.0,0.6666666666666667,1.0,True,"Aliphatic long chain, isolated alkene",2.0,"InChI=1S/2C18H34O2.Cu/c2*1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20;/h2*9-10H,2-8,11-17H2,1H3,(H,19,20);/q;;+2/p-2/b2*10-9-;",True,Aliphatic long chain,1.0,"InChI=1S/C8H16O2.C3H8O3/c1-2-3-4-5-6-7-8(9)10;4-1-3(6)2-5/h2-7H2,1H3,(H,9,10);3-6H,1-2H2"
D07,worst,7,tdc/Solubility_AqSolDB,regression,Y,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.6713426853707415,0.3286573146292585,configs/tdc/Solubility_AqSolDB_random.yaml,runs/tdc/Solubility_AqSolDB/cliffs.jsonl,runs/tdc/Solubility_AqSolDB/records.csv,intra_tv,train,214,CCCCCCCCCC(=O)O,-3.4452161366000005,train,951,CCCCCCCC/C=C\CCCCCCCC(=O)O,-11.9989378619,8.553721725299999,8.553721725299999,0.7391304347826086,1.0,0.7317073170731707,1.0,True,Aliphatic long chain,1.0,"InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)",True,"Aliphatic long chain, isolated alkene",2.0,"InChI=1S/2C18H34O2.Cu/c2*1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20;/h2*9-10H,2-8,11-17H2,1H3,(H,19,20);/q;;+2/p-2/b2*10-9-;"
D08,worst,8,tdc/Solubility_AqSolDB,regression,Y,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.6713426853707415,0.3286573146292585,configs/tdc/Solubility_AqSolDB_random.yaml,runs/tdc/Solubility_AqSolDB/cliffs.jsonl,runs/tdc/Solubility_AqSolDB/records.csv,intra_tv,train,951,CCCCCCCC/C=C\CCCCCCCC(=O)O,-11.9989378619,train,4648,CCCCCCCCCCC(=O)O,-3.5525,-8.4464378619,8.4464378619,0.7391304347826086,1.0,0.7619047619047619,1.0,True,"Aliphatic long chain, isolated alkene",2.0,"InChI=1S/2C18H34O2.Cu/c2*1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20;/h2*9-10H,2-8,11-17H2,1H3,(H,19,20);/q;;+2/p-2/b2*10-9-;",True,Aliphatic long chain,1.0,"InChI=1S/C11H22O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h2-10H2,1H3,(H,12,13)"
D09,worst,9,tdc/Solubility_AqSolDB,regression,Y,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.6713426853707415,0.3286573146292585,configs/tdc/Solubility_AqSolDB_random.yaml,runs/tdc/Solubility_AqSolDB/cliffs.jsonl,runs/tdc/Solubility_AqSolDB/records.csv,intra_tv,train,951,CCCCCCCC/C=C\CCCCCCCC(=O)O,-11.9989378619,train,2340,CCCCCCCCCCCCCCCCCCC(=O)O,-3.775990335,-8.2229475269,8.2229475269,0.7391304347826086,1.0,0.92,1.0,True,"Aliphatic long chain, isolated alkene",2.0,"InChI=1S/2C18H34O2.Cu/c2*1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20;/h2*9-10H,2-8,11-17H2,1H3,(H,19,20);/q;;+2/p-2/b2*10-9-;",True,Aliphatic long chain,1.0,"InChI=1S/C19H38O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21/h2-18H2,1H3,(H,20,21)"
D10,worst,10,tdc/Solubility_AqSolDB,regression,Y,"Excluded molecular Tanimoto == 1.0; ranked by Tanimoto, then absolute activity delta.",0.6713426853707415,0.3286573146292585,configs/tdc/Solubility_AqSolDB_random.yaml,runs/tdc/Solubility_AqSolDB/cliffs.jsonl,runs/tdc/Solubility_AqSolDB/records.csv,cross_tv_test,train,951,CCCCCCCC/C=C\CCCCCCCC(=O)O,-11.9989378619,test,672,CCCCCCCCCCCCC(=O)O,-3.8126,-8.1863378619,8.1863378619,0.7391304347826086,1.0,0.8181818181818181,1.0,True,"Aliphatic long chain, isolated alkene",2.0,"InChI=1S/2C18H34O2.Cu/c2*1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20;/h2*9-10H,2-8,11-17H2,1H3,(H,19,20);/q;;+2/p-2/b2*10-9-;",True,Aliphatic long chain,1.0,"InChI=1S/C13H26O2/c1-2-3-4-5-6-7-8-9-10-11-12-13(14)15/h2-12H2,1H3,(H,14,15)"
